Location,Count
Andorra,4
Argentina,675
Aruba,3
Australia,140
Austria,323
Bahamas,2
Bahrain,1
Barbados,1
Belgium,785
Benin,3
Bermuda,1
Bolivia,242
Bosnia and Herzegovina,9
Brazil,9260
Bulgaria,6
Cameroon,12
Canada,1437
Central African Republic,12
Chile,1175
China,6
Colombia,3523
Congo,5
Costa Rica,8
Croatia,29
Cuba,4
Curaçao,3
Cyprus,5
Czechia,70
Democratic Republic of the Congo,206
Denmark,191
Dominican Republic,52
Ecuador,243
Egypt,1
El Salvador,15
Estonia,11
Finland,41
France,4094
Georgia,2
Germany,3668
Ghana,107
Gibraltar,6
Greece,84
Greenland,2
Guadeloupe,1
Guam,1
Guatemala,88
Guyana,2
Honduras,9
Hungary,80
Iceland,16
India,17
Indonesia,1
Iran,1
Ireland,207
Israel,262
Italy,894
Jamaica,16
Japan,7
Jordan,1
Latvia,6
Lebanon,18
Liberia,3
Lithuania,5
Luxembourg,55
Malta,33
Martinique,1
Mexico,2901
Monaco,3
Montenegro,2
Morocco,3
Mozambique,1
Netherlands,1235
New Caledonia,1
New Zealand,28
Nigeria,583
Norway,93
Panama,18
Paraguay,4
Peru,3110
Philippines,4
Poland,210
Portugal,944
Puerto Rico,200
Qatar,5
Republic of Korea,2
Republic of Moldova,2
Romania,43
Russian Federation,2
Saint Martin,1
San Marino,1
Saudi Arabia,8
Serbia,40
Singapore,19
Slovakia,14
Slovenia,47
South Africa,5
Spain,7317
Sudan,18
Sweden,212
Switzerland,546
Thailand,12
Türkiye,12
Ukraine,5
United Arab Emirates,16
United Kingdom of Great Britain and Northern Ireland,3701
United States,26049
Uruguay,14
Venezuela,10
Viet Nam,2
